Country/Region,Province/State,Last Update,ObservationDate,Latitude,Longitude,Confirmed,Deaths,Recovered
Afghanistan,,2020-05-12T15:42:00.005Z,4/7/20,33,65,423,14,18
Afghanistan,,2020-05-12T15:42:00.005Z,4/8/20,33,65,444,14,29
Afghanistan,,2020-05-12T15:42:00.005Z,4/9/20,33,65,484,15,32
Afghanistan,,2020-05-12T15:42:00.005Z,4/10/20,33,65,521,15,32
Afghanistan,,2020-05-12T15:42:00.005Z,4/11/20,33,65,555,18,32
Afghanistan,,2020-05-12T15:42:00.005Z,4/12/20,33,65,607,18,32
Afghanistan,,2020-05-12T15:42:00.005Z,4/13/20,33,65,665,21,32
Afghanistan,,2020-05-12T15:42:00.005Z,4/14/20,33,65,714,23,40
Afghanistan,,2020-05-12T15:42:00.005Z,4/15/20,33,65,784,25,43
Afghanistan,,2020-05-12T15:42:00.005Z,4/16/20,33,65,840,30,54
Afghanistan,,2020-05-12T15:42:00.005Z,4/17/20,33,65,906,30,99
Afghanistan,,2020-05-12T15:42:00.005Z,4/18/20,33,65,933,30,112
Afghanistan,,2020-05-12T15:42:00.005Z,4/19/20,33,65,996,33,131
Afghanistan,,2020-05-12T15:42:00.005Z,4/20/20,33,65,1026,36,135
Afghanistan,,2020-05-12T15:42:00.005Z,4/21/20,33,65,1092,36,150
Afghanistan,,2020-05-12T15:42:00.005Z,4/22/20,33,65,1176,40,166
Afghanistan,,2020-05-12T15:42:00.005Z,4/23/20,33,65,1279,42,179
Afghanistan,,2020-05-12T15:42:00.005Z,4/24/20,33,65,1351,43,188
Afghanistan,,2020-05-12T15:42:00.005Z,4/25/20,33,65,1463,47,188
Afghanistan,,2020-05-12T15:42:00.005Z,4/26/20,33,65,1531,50,207
Afghanistan,,2020-05-12T15:42:00.005Z,4/27/20,33,65,1703,57,220
Afghanistan,,2020-05-12T15:42:00.005Z,4/28/20,33,65,1828,58,228
Afghanistan,,2020-05-12T15:42:00.005Z,4/29/20,33,65,1939,60,252
Afghanistan,,2020-05-12T15:42:00.005Z,4/30/20,33,65,2171,64,260
Afghanistan,,2020-05-12T15:42:00.005Z,5/1/20,33,65,2335,68,310
Afghanistan,,2020-05-12T15:42:00.005Z,5/2/20,33,65,2469,72,331
Afghanistan,,2020-05-12T15:42:00.005Z,5/3/20,33,65,2704,85,345
Afghanistan,,2020-05-12T15:42:00.005Z,5/4/20,33,65,2894,90,397
Afghanistan,,2020-05-12T15:42:00.005Z,5/5/20,33,65,3224,95,421
Afghanistan,,2020-05-12T15:42:00.005Z,5/6/20,33,65,3392,104,458
Afghanistan,,2020-05-12T15:42:00.005Z,5/7/20,33,65,3563,106,468
Afghanistan,,2020-05-12T15:42:00.005Z,5/8/20,33,65,3778,109,472
Afghanistan,,2020-05-12T15:42:00.005Z,5/9/20,33,65,4033,115,502
Afghanistan,,2020-05-12T15:42:00.005Z,5/10/20,33,65,4402,120,558
Afghanistan,,2020-05-12T15:42:00.005Z,5/11/20,33,65,4687,122,558
Albania,,2020-05-12T15:42:00.005Z,1/22/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/23/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/24/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/25/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/26/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/27/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/28/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/29/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/30/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,1/31/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/1/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/2/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/3/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/4/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/5/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/6/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/7/20,41.1533,20.1683,0,0,0
